id,action_id,verb_id,noun_id,action_cls,verb_cls,noun_cls
0,10,18,27,clap hand,clap,hand
1,3,0,2,pick up screwdriver,pick up,screwdriver
2,19,0,5,pick up finished toy,pick up,finished toy
3,182,4,26,unscrew track with screwdriver,unscrew,track
4,281,9,26,remove screw from track,remove screw from,track
5,2,1,1,put down screw,put down,screw
6,261,4,26,unscrew track with hand,unscrew,track
7,264,7,26,remove track,remove,track
8,1,3,0,rotate partial toy,rotate,partial toy
9,199,1,26,put down track,put down,track
10,432,4,22,unscrew excavator arm with screwdriver,unscrew,excavator arm
11,857,4,22,unscrew excavator arm with hand,unscrew,excavator arm
12,380,7,22,remove excavator arm,remove,excavator arm
13,6,1,0,put down partial toy,put down,partial toy
14,399,10,22,pass excavator arm to other hand,pass,excavator arm
15,229,4,24,unscrew bucket with screwdriver,unscrew,bucket
16,347,9,24,remove screw from bucket,remove screw from,bucket
17,88,13,1,push screw,push,screw
18,337,7,24,remove bucket,remove,bucket
19,176,1,24,put down bucket,put down,bucket
20,99,1,13,put down arm,put down,arm
21,7,0,0,pick up partial toy,pick up,partial toy
22,5,2,0,inspect partial toy,inspect,partial toy
23,87,4,3,unscrew cabin with screwdriver,unscrew,cabin
24,14,4,4,unscrew chassis with screwdriver,unscrew,chassis
25,213,4,4,unscrew chassis with hand,unscrew,chassis
26,139,7,15,remove rear body,remove,rear body
27,125,2,15,inspect rear body,inspect,rear body
28,106,1,15,put down rear body,put down,rear body
29,20,7,3,remove cabin,remove,cabin
30,24,2,3,inspect cabin,inspect,cabin
31,710,7,75,remove figurine,remove,figurine
32,735,1,75,put down figurine,put down,figurine
33,12,1,3,put down cabin,put down,cabin
34,196,19,4,attempt to unscrew chassis,attempt to unscrew,chassis
35,38,9,4,remove screw from chassis,remove screw from,chassis
36,22,1,4,put down chassis,put down,chassis
37,4,1,2,put down screwdriver,put down,screwdriver
38,27,0,4,pick up chassis,pick up,chassis
39,0,0,1,pick up screw,pick up,screw
40,17,8,4,position screw on chassis,position screw on,chassis
41,16,6,4,screw chassis with screwdriver,screw,chassis
42,462,7,56,remove chassis part,remove,chassis part
43,328,1,56,put down chassis part,put down,chassis part
44,292,0,56,pick up chassis part,pick up,chassis part
45,414,5,56,position chassis part,position,chassis part
46,29,2,4,inspect chassis,inspect,chassis
47,98,0,15,pick up rear body,pick up,rear body
48,121,5,15,position rear body,position,rear body
49,66,12,1,attempt to position screw,attempt to position,screw
50,179,6,4,screw chassis with hand,screw,chassis
51,11,0,3,pick up cabin,pick up,cabin
52,15,5,3,position cabin,position,cabin
53,559,0,75,pick up figurine,pick up,figurine
54,558,5,75,position figurine,position,figurine
55,84,0,13,pick up arm,pick up,arm
56,173,0,24,pick up bucket,pick up,bucket
57,268,5,24,position bucket,position,bucket
58,272,8,24,position screw on bucket,position screw on,bucket
59,438,6,24,screw bucket with hand,screw,bucket
60,291,6,24,screw bucket with screwdriver,screw,bucket
61,218,3,22,rotate excavator arm,rotate,excavator arm
62,287,5,22,position excavator arm,position,excavator arm
63,280,0,22,pick up excavator arm,pick up,excavator arm
64,406,8,22,position screw on excavator arm,position screw on,excavator arm
65,709,6,22,screw excavator arm with hand,screw,excavator arm
66,407,6,22,screw excavator arm with screwdriver,screw,excavator arm
67,127,14,22,tilt down excavator arm,tilt down,excavator arm
68,212,0,26,pick up track,pick up,track
69,237,5,26,position track,position,track
70,185,8,26,position screw on track,position screw on,track
71,319,6,26,screw track with hand,screw,track
72,202,6,26,screw track with screwdriver,screw,track
73,23,1,5,put down finished toy,put down,finished toy
74,186,11,31,tilt up crane arm,tilt up,crane arm
75,946,19,32,attempt to unscrew turntable top,attempt to unscrew,turntable top
76,33,4,6,unscrew first wheel with screwdriver,unscrew,first wheel
77,70,17,1,attempt to pick up screw,attempt to pick up,screw
78,52,7,6,remove first wheel,remove,first wheel
79,31,1,6,put down first wheel,put down,first wheel
80,37,4,8,unscrew second wheel with screwdriver,unscrew,second wheel
81,157,4,8,unscrew second wheel with hand,unscrew,second wheel
82,130,7,1,remove screw,remove,screw
83,50,7,8,remove second wheel,remove,second wheel
84,32,1,8,put down second wheel,put down,second wheel
85,40,4,9,unscrew third wheel with screwdriver,unscrew,third wheel
86,171,4,9,unscrew third wheel with hand,unscrew,third wheel
87,44,1,9,put down third wheel,put down,third wheel
88,48,4,11,unscrew fourth wheel with screwdriver,unscrew,fourth wheel
89,161,4,11,unscrew fourth wheel with hand,unscrew,fourth wheel
90,250,4,3,unscrew cabin with hand,unscrew,cabin
91,129,9,3,remove screw from cabin,remove screw from,cabin
92,200,4,32,unscrew turntable top with screwdriver,unscrew,turntable top
93,343,3,32,rotate turntable top,rotate,turntable top
94,463,7,31,remove crane arm,remove,crane arm
95,381,1,31,put down crane arm,put down,crane arm
96,67,7,10,remove interior,remove,interior
97,59,1,10,put down interior,put down,interior
98,355,0,31,pick up crane arm,pick up,crane arm
99,207,3,31,rotate crane arm,rotate,crane arm
100,945,19,31,attempt to unscrew crane arm,attempt to unscrew,crane arm
101,662,4,31,unscrew crane arm with screwdriver,unscrew,crane arm
102,736,9,31,remove screw from crane arm,remove screw from,crane arm
103,79,1,19,put down nut,put down,nut
104,356,7,32,remove turntable top,remove,turntable top
105,282,1,32,put down turntable top,put down,turntable top
106,814,4,62,unscrew hook with screwdriver,unscrew,hook
107,944,9,62,remove screw from hook,remove screw from,hook
108,711,7,62,remove hook,remove,hook
109,686,1,62,put down hook,put down,hook
110,1139,17,32,attempt to pick up turntable top,attempt to pick up,turntable top
111,41,0,10,pick up interior,pick up,interior
112,354,5,4,position chassis,position,chassis
113,28,0,6,pick up first wheel,pick up,first wheel
114,36,5,6,position first wheel,position,first wheel
115,47,8,6,position screw on first wheel,position screw on,first wheel
116,116,6,6,screw first wheel with hand,screw,first wheel
117,30,0,8,pick up second wheel,pick up,second wheel
118,35,5,8,position second wheel,position,second wheel
119,75,8,8,position screw on second wheel,position screw on,second wheel
120,138,6,8,screw second wheel with hand,screw,second wheel
121,53,6,6,screw first wheel with screwdriver,screw,first wheel
122,56,6,8,screw second wheel with screwdriver,screw,second wheel
123,34,0,9,pick up third wheel,pick up,third wheel
124,45,5,9,position third wheel,position,third wheel
125,57,6,9,screw third wheel with screwdriver,screw,third wheel
126,298,0,32,pick up turntable top,pick up,turntable top
127,39,0,11,pick up fourth wheel,pick up,fourth wheel
128,51,5,11,position fourth wheel,position,fourth wheel
129,60,6,11,screw fourth wheel with screwdriver,screw,fourth wheel
130,644,10,32,pass turntable top to other hand,pass,turntable top
131,83,5,13,position arm,position,arm
132,274,8,32,position screw on turntable top,position screw on,turntable top
133,391,9,32,remove screw from turntable top,remove screw from,turntable top
134,21,10,1,pass screw to other hand,pass,screw
135,273,6,32,screw turntable top with screwdriver,screw,turntable top
136,62,0,19,pick up nut,pick up,nut
137,899,6,32,screw turntable top with hand,screw,turntable top
138,663,0,62,pick up hook,pick up,hook
139,687,5,62,position hook,position,hook
140,998,22,31,attempt to screw crane arm,attempt to screw,crane arm
141,999,6,62,screw hook with hand,screw,hook
142,645,14,62,tilt down hook,tilt down,hook
143,509,10,31,pass crane arm to other hand,pass,crane arm
144,433,5,31,position crane arm,position,crane arm
145,103,8,3,position screw on cabin,position screw on,cabin
146,108,6,3,screw cabin with screwdriver,screw,cabin
147,233,14,31,tilt down crane arm,tilt down,crane arm
148,617,11,62,tilt up hook,tilt up,hook
149,9,13,5,push finished toy,push,finished toy
150,13,15,5,pull finished toy,pull,finished toy
151,43,3,5,rotate finished toy,rotate,finished toy
152,76,4,7,unscrew roof with screwdriver,unscrew,roof
153,109,9,7,remove screw from roof,remove screw from,roof
154,72,7,7,remove roof,remove,roof
155,149,2,7,inspect roof,inspect,roof
156,65,1,7,put down roof,put down,roof
157,104,4,10,unscrew interior with screwdriver,unscrew,interior
158,136,9,10,remove screw from interior,remove screw from,interior
159,230,4,23,unscrew arm connector with screwdriver,unscrew,arm connector
160,560,4,23,unscrew arm connector with hand,unscrew,arm connector
161,275,9,23,remove screw from arm connector,remove screw from,arm connector
162,561,7,36,remove bulldozer arm,remove,bulldozer arm
163,540,1,36,put down bulldozer arm,put down,bulldozer arm
164,169,7,23,remove arm connector,remove,arm connector
165,191,1,23,put down arm connector,put down,arm connector
166,105,7,19,remove nut,remove,nut
167,145,4,6,unscrew first wheel with hand,unscrew,first wheel
168,155,19,18,attempt to unscrew wheel,attempt to unscrew,wheel
169,100,9,8,remove screw from second wheel,remove screw from,second wheel
170,54,7,9,remove third wheel,remove,third wheel
171,119,9,11,remove screw from fourth wheel,remove screw from,fourth wheel
172,49,1,11,put down fourth wheel,put down,fourth wheel
173,241,20,1,attempt to put down screw,attempt to put down,screw
174,242,7,4,remove chassis,remove,chassis
175,187,3,10,rotate interior,rotate,interior
176,71,3,4,rotate chassis,rotate,chassis
177,96,2,10,inspect interior,inspect,interior
178,479,0,36,pick up bulldozer arm,pick up,bulldozer arm
179,605,10,36,pass bulldozer arm to other hand,pass,bulldozer arm
180,151,4,13,unscrew arm with screwdriver,unscrew,arm
181,124,7,13,remove arm,remove,arm
182,175,9,13,remove screw from arm,remove screw from,arm
183,168,10,4,pass chassis to other hand,pass,chassis
184,81,0,12,pick up rear base,pick up,rear base
185,137,12,12,attempt to position rear base,attempt to position,rear base
186,154,3,12,rotate rear base,rotate,rear base
187,89,5,12,position rear base,position,rear base
188,80,8,9,position screw on third wheel,position screw on,third wheel
189,146,6,9,screw third wheel with hand,screw,third wheel
190,77,8,11,position screw on fourth wheel,position screw on,fourth wheel
191,42,5,10,position interior,position,interior
192,18,11,0,tilt up partial toy,tilt up,partial toy
193,25,14,0,tilt down partial toy,tilt down,partial toy
194,400,10,24,pass bucket to other hand,pass,bucket
195,434,3,24,rotate bucket,rotate,bucket
196,214,12,13,attempt to position arm,attempt to position,arm
197,234,3,13,rotate arm,rotate,arm
198,203,6,13,screw arm with hand,screw,arm
199,333,2,24,inspect bucket,inspect,bucket
200,141,8,13,position screw on arm,position screw on,arm
201,480,3,36,rotate bulldozer arm,rotate,bulldozer arm
202,300,4,13,unscrew arm with hand,unscrew,arm
203,174,6,13,screw arm with screwdriver,screw,arm
204,159,0,23,pick up arm connector,pick up,arm connector
205,74,5,19,position nut,position,nut
206,143,5,23,position arm connector,position,arm connector
207,583,5,36,position bulldozer arm,position,bulldozer arm
208,606,8,36,position screw on bulldozer arm,position screw on,bulldozer arm
209,737,6,36,screw bulldozer arm with hand,screw,bulldozer arm
210,494,6,36,screw bulldozer arm with screwdriver,screw,bulldozer arm
211,63,0,7,pick up roof,pick up,roof
212,64,5,7,position roof,position,roof
213,91,8,7,position screw on roof,position screw on,roof
214,122,6,7,screw roof with screwdriver,screw,roof
215,68,10,2,pass screwdriver to other hand,pass,screwdriver
216,243,8,23,position screw on arm connector,position screw on,arm connector
217,299,6,23,screw arm connector with screwdriver,screw,arm connector
218,231,11,24,tilt up bucket,tilt up,bucket
219,215,14,24,tilt down bucket,tilt down,bucket
220,276,2,31,inspect crane arm,inspect,crane arm
221,1057,16,62,attempt to remove hook,attempt to remove,hook
222,481,16,13,attempt to remove arm,attempt to remove,arm
223,221,4,28,unscrew turntable base with screwdriver,unscrew,turntable base
224,370,9,28,remove screw from turntable base,remove screw from,turntable base
225,301,7,28,remove turntable base,remove,turntable base
226,665,7,74,remove cabin window,remove,cabin window
227,235,1,28,put down turntable base,put down,turntable base
228,664,1,74,put down cabin window,put down,cabin window
229,238,16,12,attempt to remove rear base,attempt to remove,rear base
230,110,7,12,remove rear base,remove,rear base
231,288,10,12,pass rear base to other hand,pass,rear base
232,85,1,12,put down rear base,put down,rear base
233,112,4,14,unscrew front bumper with screwdriver,unscrew,front bumper
234,308,4,14,unscrew front bumper with hand,unscrew,front bumper
235,164,9,14,remove screw from front bumper,remove screw from,front bumper
236,118,7,14,remove front bumper,remove,front bumper
237,101,1,14,put down front bumper,put down,front bumper
238,464,16,7,attempt to remove roof,attempt to remove,roof
239,86,3,3,rotate cabin,rotate,cabin
240,97,9,6,remove screw from first wheel,remove screw from,first wheel
241,107,9,9,remove screw from third wheel,remove screw from,third wheel
242,55,7,11,remove fourth wheel,remove,fourth wheel
243,158,6,11,screw fourth wheel with hand,screw,fourth wheel
244,8,2,17,inspect diagram,inspect,diagram
245,362,17,3,attempt to pick up cabin,attempt to pick up,cabin
246,120,8,10,position screw on interior,position screw on,interior
247,114,6,10,screw interior with screwdriver,screw,interior
248,144,23,0,shake partial toy,shake,partial toy
249,738,17,12,attempt to pick up rear base,attempt to pick up,rear base
250,82,0,14,pick up front bumper,pick up,front bumper
251,95,5,14,position front bumper,position,front bumper
252,117,8,14,position screw on front bumper,position screw on,front bumper
253,132,6,14,screw front bumper with screwdriver,screw,front bumper
254,357,8,2,position screw on screwdriver,position screw on,screwdriver
255,131,2,12,inspect rear base,inspect,rear base
256,265,0,28,pick up turntable base,pick up,turntable base
257,204,3,28,rotate turntable base,rotate,turntable base
258,329,5,28,position turntable base,position,turntable base
259,446,10,28,pass turntable base to other hand,pass,turntable base
260,647,0,74,pick up cabin window,pick up,cabin window
261,618,5,74,position cabin window,position,cabin window
262,205,2,28,inspect turntable base,inspect,turntable base
263,302,8,28,position screw on turntable base,position screw on,turntable base
264,251,6,28,screw turntable base with screwdriver,screw,turntable base
265,562,8,31,position screw on crane arm,position screw on,crane arm
266,646,6,31,screw crane arm with screwdriver,screw,crane arm
267,900,6,31,screw crane arm with hand,screw,crane arm
268,61,15,0,pull partial toy,pull,partial toy
269,58,2,5,inspect finished toy,inspect,finished toy
270,739,15,13,pull arm,pull,arm
271,525,13,13,push arm,push,arm
272,92,10,3,pass cabin to other hand,pass,cabin
273,948,16,23,attempt to remove arm connector,attempt to remove,arm connector
274,527,7,47,remove roller arm,remove,roller arm
275,367,3,37,rotate roller,rotate,roller
276,447,7,37,remove roller,remove,roller
277,344,1,37,put down roller,put down,roller
278,188,4,15,unscrew rear body with screwdriver,unscrew,rear body
279,262,9,15,remove screw from rear body,remove screw from,rear body
280,947,23,4,shake chassis,shake,chassis
281,901,6,56,screw chassis part with screwdriver,screw,chassis part
282,26,10,0,pass partial toy to other hand,pass,partial toy
283,435,10,23,pass arm connector to other hand,pass,arm connector
284,815,17,15,attempt to pick up rear body,attempt to pick up,rear body
285,309,10,13,pass arm to other hand,pass,arm
286,338,0,37,pick up roller,pick up,roller
287,423,5,37,position roller,position,roller
288,510,21,37,spin roller,spin,roller
289,526,10,47,pass roller arm to other hand,pass,roller arm
290,1225,20,47,attempt to put down roller arm,attempt to put down,roller arm
291,858,12,47,attempt to position roller arm,attempt to position,roller arm
292,366,2,23,inspect arm connector,inspect,arm connector
293,541,5,47,position roller arm,position,roller arm
294,392,10,15,pass rear body to other hand,pass,rear body
295,247,8,15,position screw on rear body,position screw on,rear body
296,859,6,15,screw rear body with hand,screw,rear body
297,208,6,15,screw rear body with screwdriver,screw,rear body
298,1226,10,74,pass cabin window to other hand,pass,cabin window
299,382,11,47,tilt up roller arm,tilt up,roller arm
300,320,10,5,pass finished toy to other hand,pass,finished toy
301,371,14,47,tilt down roller arm,tilt down,roller arm
302,742,4,43,unscrew jackhammer arm with screwdriver,unscrew,jackhammer arm
303,902,9,43,remove screw from jackhammer arm,remove screw from,jackhammer arm
304,649,7,43,remove jackhammer arm,remove,jackhammer arm
305,818,10,43,pass jackhammer arm to other hand,pass,jackhammer arm
306,180,7,20,remove boom,remove,boom
307,311,2,20,inspect boom,inspect,boom
308,162,1,20,put down boom,put down,boom
309,1002,10,64,pass jackhammer to other hand,pass,jackhammer
310,903,4,64,unscrew jackhammer with screwdriver,unscrew,jackhammer
311,1059,4,64,unscrew jackhammer with hand,unscrew,jackhammer
312,817,7,64,remove jackhammer,remove,jackhammer
313,780,1,64,put down jackhammer,put down,jackhammer
314,1001,13,20,push boom,push,boom
315,498,4,49,unscrew strap with screwdriver,unscrew,strap
316,779,9,49,remove screw from strap,remove screw from,strap
317,542,7,49,remove strap,remove,strap
318,496,1,49,put down strap,put down,strap
319,294,4,25,unscrew front body with screwdriver,unscrew,front body
320,466,4,25,unscrew front body with hand,unscrew,front body
321,190,7,25,remove front body,remove,front body
322,167,1,25,put down front body,put down,front body
323,690,16,50,attempt to remove light,attempt to remove,light
324,277,7,50,remove light,remove,light
325,348,1,50,put down light,put down,light
326,193,7,38,remove step,remove,step
327,232,1,38,put down step,put down,step
328,227,12,18,attempt to position wheel,attempt to position,wheel
329,123,10,18,pass wheel to other hand,pass,wheel
330,222,0,38,pick up step,pick up,step
331,189,5,38,position step,position,step
332,289,0,50,pick up light,pick up,light
333,259,5,50,position light,position,light
334,152,0,25,pick up front body,pick up,front body
335,497,10,25,pass front body to other hand,pass,front body
336,165,5,25,position front body,position,front body
337,223,2,25,inspect front body,inspect,front body
338,393,8,25,position screw on front body,position screw on,front body
339,495,6,25,screw front body with hand,screw,front body
340,330,6,25,screw front body with screwdriver,screw,front body
341,1000,22,25,attempt to screw front body,attempt to screw,front body
342,415,0,49,pick up strap,pick up,strap
343,816,2,49,inspect strap,inspect,strap
344,949,10,49,pass strap to other hand,pass,strap
345,293,5,49,position strap,position,strap
346,465,6,49,screw strap with screwdriver,screw,strap
347,46,13,0,push partial toy,push,partial toy
348,147,0,20,pick up boom,pick up,boom
349,166,5,20,position boom,position,boom
350,260,8,20,position screw on boom,position screw on,boom
351,401,6,20,screw boom with hand,screw,boom
352,1227,17,43,attempt to pick up jackhammer arm,attempt to pick up,jackhammer arm
353,310,11,20,tilt up boom,tilt up,boom
354,358,14,20,tilt down boom,tilt down,boom
355,689,0,64,pick up jackhammer,pick up,jackhammer
356,648,5,64,position jackhammer,position,jackhammer
357,741,8,64,position screw on jackhammer,position screw on,jackhammer
358,666,17,19,attempt to pick up nut,attempt to pick up,nut
359,1058,6,64,screw jackhammer with hand,screw,jackhammer
360,219,11,43,tilt up jackhammer arm,tilt up,jackhammer arm
361,266,14,43,tilt down jackhammer arm,tilt down,jackhammer arm
362,740,11,64,tilt up jackhammer,tilt up,jackhammer
363,688,14,64,tilt down jackhammer,tilt down,jackhammer
364,499,0,34,pick up ladder basket,pick up,ladder basket
365,363,3,34,rotate ladder basket,rotate,ladder basket
366,339,2,34,inspect ladder basket,inspect,ladder basket
367,619,10,34,pass ladder basket to other hand,pass,ladder basket
368,528,5,34,position ladder basket,position,ladder basket
369,650,4,34,unscrew ladder basket with screwdriver,unscrew,ladder basket
370,1060,4,34,unscrew ladder basket with hand,unscrew,ladder basket
371,819,9,34,remove screw from ladder basket,remove screw from,ladder basket
372,448,7,34,remove ladder basket,remove,ladder basket
373,201,14,34,tilt down ladder basket,tilt down,ladder basket
374,621,4,57,unscrew basket with screwdriver,unscrew,basket
375,950,4,57,unscrew basket with hand,unscrew,basket
376,744,9,57,remove screw from basket,remove screw from,basket
377,781,14,58,tilt down ladder,tilt down,ladder
378,743,11,58,tilt up ladder,tilt up,ladder
379,820,16,58,attempt to remove ladder,attempt to remove,ladder
380,439,14,57,tilt down basket,tilt down,basket
381,543,11,57,tilt up basket,tilt up,basket
382,467,1,34,put down ladder basket,put down,ladder basket
383,183,3,15,rotate rear body,rotate,rear body
384,1003,23,15,shake rear body,shake,rear body
385,1004,4,32,unscrew turntable top with hand,unscrew,turntable top
386,408,2,32,inspect turntable top,inspect,turntable top
387,620,3,2,rotate screwdriver,rotate,screwdriver
388,440,17,0,attempt to pick up partial toy,attempt to pick up,partial toy
389,331,20,0,attempt to put down partial toy,attempt to put down,partial toy
390,93,16,1,attempt to remove screw,attempt to remove,screw
391,248,4,7,unscrew roof with hand,unscrew,roof
392,184,10,7,pass roof to other hand,pass,roof
393,441,4,10,unscrew interior with hand,unscrew,interior
394,482,13,3,push cabin,push,cabin
395,584,13,4,push chassis,push,chassis
396,1005,12,34,attempt to position ladder basket,attempt to position,ladder basket
397,194,11,34,tilt up ladder basket,tilt up,ladder basket
398,747,8,34,position screw on ladder basket,position screw on,ladder basket
399,1228,22,34,attempt to screw ladder basket,attempt to screw,ladder basket
400,668,7,57,remove basket,remove,basket
401,667,1,57,put down basket,put down,basket
402,904,10,58,pass ladder to other hand,pass,ladder
403,745,12,58,attempt to position ladder,attempt to position,ladder
404,563,5,58,position ladder,position,ladder
405,861,6,58,screw ladder with screwdriver,screw,ladder
406,746,0,57,pick up basket,pick up,basket
407,905,3,57,rotate basket,rotate,basket
408,1140,12,57,attempt to position basket,attempt to position,basket
409,906,2,57,inspect basket,inspect,basket
410,712,5,57,position basket,position,basket
411,860,8,57,position screw on basket,position screw on,basket
412,821,6,57,screw basket with screwdriver,screw,basket
413,142,6,7,screw roof with hand,screw,roof
414,782,4,65,unscrew fire extinguisher with screwdriver,unscrew,fire extinguisher
415,1061,4,65,unscrew fire extinguisher with hand,unscrew,fire extinguisher
416,907,9,65,remove screw from fire extinguisher,remove screw from,fire extinguisher
417,749,7,65,remove fire extinguisher,remove,fire extinguisher
418,748,1,65,put down fire extinguisher,put down,fire extinguisher
419,1006,10,65,pass fire extinguisher to other hand,pass,fire extinguisher
420,529,4,35,unscrew water tank with screwdriver,unscrew,water tank
421,394,7,35,remove water tank,remove,water tank
422,352,3,35,rotate water tank,rotate,water tank
423,321,1,35,put down water tank,put down,water tank
424,416,20,3,attempt to put down cabin,attempt to put down,cabin
425,364,6,10,screw interior with hand,screw,interior
426,278,0,35,pick up water tank,pick up,water tank
427,565,10,35,pass water tank to other hand,pass,water tank
428,239,2,35,inspect water tank,inspect,water tank
429,353,12,35,attempt to position water tank,attempt to position,water tank
430,322,5,35,position water tank,position,water tank
431,607,8,35,position screw on water tank,position screw on,water tank
432,564,6,35,screw water tank with screwdriver,screw,water tank
433,1007,2,65,inspect fire extinguisher,inspect,fire extinguisher
434,383,5,32,position turntable top,position,turntable top
435,1141,22,32,attempt to screw turntable top,attempt to screw,turntable top
436,750,0,65,pick up fire extinguisher,pick up,fire extinguisher
437,783,5,65,position fire extinguisher,position,fire extinguisher
438,1062,11,65,tilt up fire extinguisher,tilt up,fire extinguisher
439,822,8,65,position screw on fire extinguisher,position screw on,fire extinguisher
440,1008,6,65,screw fire extinguisher with hand,screw,fire extinguisher
441,585,17,14,attempt to pick up front bumper,attempt to pick up,front bumper
442,170,6,14,screw front bumper with hand,screw,front bumper
443,823,3,65,rotate fire extinguisher,rotate,fire extinguisher
444,1063,14,65,tilt down fire extinguisher,tilt down,fire extinguisher
445,786,16,53,attempt to remove mixer,attempt to remove,mixer
446,714,4,53,unscrew mixer with screwdriver,unscrew,mixer
447,754,9,37,remove screw from roller,remove screw from,roller
448,586,7,53,remove mixer,remove,mixer
449,417,2,53,inspect mixer,inspect,mixer
450,566,1,53,put down mixer,put down,mixer
451,418,4,46,unscrew mixer stand with screwdriver,unscrew,mixer stand
452,862,4,46,unscrew mixer stand with hand,unscrew,mixer stand
453,501,9,46,remove screw from mixer stand,remove screw from,mixer stand
454,502,7,46,remove mixer stand,remove,mixer stand
455,424,1,46,put down mixer stand,put down,mixer stand
456,691,4,68,unscrew tilter with screwdriver,unscrew,tilter
457,825,4,68,unscrew tilter with hand,unscrew,tilter
458,752,7,68,remove tilter,remove,tilter
459,753,1,68,put down tilter,put down,tilter
460,236,16,10,attempt to remove interior,attempt to remove,interior
461,751,0,68,pick up tilter,pick up,tilter
462,1230,3,68,rotate tilter,rotate,tilter
463,1229,10,68,pass tilter to other hand,pass,tilter
464,824,5,68,position tilter,position,tilter
465,951,8,68,position screw on tilter,position screw on,tilter
466,1009,6,68,screw tilter with hand,screw,tilter
467,784,6,68,screw tilter with screwdriver,screw,tilter
468,449,0,46,pick up mixer stand,pick up,mixer stand
469,450,2,46,inspect mixer stand,inspect,mixer stand
470,469,5,46,position mixer stand,position,mixer stand
471,468,8,46,position screw on mixer stand,position screw on,mixer stand
472,1010,6,46,screw mixer stand with hand,screw,mixer stand
473,349,6,19,screw nut with hand,screw,nut
474,500,0,53,pick up mixer,pick up,mixer
475,483,5,53,position mixer,position,mixer
476,713,8,53,position screw on mixer,position screw on,mixer
477,785,6,53,screw mixer with screwdriver,screw,mixer
478,365,21,53,spin mixer,spin,mixer
